日期,记录ID,ISBN,书名,价格,历史最高价,最高价日期
2026-09-02,345bf30edba04889bec82b9e2b41d9bd,'9787509013434,王赓武谈世界史：欧亚大陆与三大文明,24.40,,
2026-09-02,34c43ae2bd6045b79f056864a3348837,'9787220120244,苏东坡新传,62.70,,
2026-09-02,3823aa8bf49445e782a2fc9429df9c88,'9787513330756,反智时代（谎言中的美国文化）,2.00,,
2026-09-02,38f5f0c293d54b888a74ec71d0da2717,'9787559828989,古罗马的笑:演说家、弄臣和猴子,14.20,,
2026-09-02,39146daa4b8e488b809e380d9c46f1fe,'9787540476410,有琴一张(全新修订版),1.50,,
2026-09-02,3a05146559914cbaa8ad6bd4a6636f8f,'9787513355872,起初·鱼甜,7.20,,
2026-09-02,3b92e9035b1242a6bc94d8aef0f585cb,'9787553821603,古文观止(全本全注全译全注音本),35.50,,
2026-09-02,3be80976bbe94b3ab44e981fc27263b6,'9787020135554,哈利·波特与密室,6.60,,
2026-09-02,3e67f8b1907f417d88c28dfdd2cc0757,'9787563365579,写给孩子的哲学启蒙书·第4卷,,,
2026-09-02,40087b08b95c459596669d287e7bea25,'9787510845703,四时读书乐,2.00,,
2026-09-02,40abd2bc08824f2fb7fa7f2a8277ed16,'9787553811413,论语,1.30,,
2026-09-02,41f809cbf9604b9f8b3dd8e6985ae156,'9787020197620,咸的玩笑,22.20,,
2026-09-02,4273388f52924a19b17fd0e96a0f41dd,'9787222248502,西游记(插图袖珍本)(全二册),,,
2026-09-02,42fa0c998bda457abe6244d16d6384f5,'9787020129072,红星照耀中国（青少版）,1.40,,
2026-09-02,45554d66cdab415fa5c0a11b652056e1,'9787532969364,少年世界史,28.50,,
2026-09-02,478cf3bb9072412782b2baa815c28c69,'9787300148755,第三波（20世纪后期的民主化浪潮）,26.60,,
2026-09-02,4a330db0e2f242e5942518e9e5fb70ca,'9787108071682,杜甫评传,63.40,,
2026-09-02,4b9f8c862b634fb88a4625dda997f8d0,'9787218086071,谭其骧日记,12.00,,
2026-09-02,4d2359d3e462450fb78e2d25f0ba9190,'9787542682697,红楼梦:程乙本校注版(插图袖珍本),55.30,,
